step,midprice,bid,ask,inventory,cash,pnl,risk_adjusted_pnl,fills,adverse_selection_cost,incoming_order
77,100.02720697861373,99.9628042791305,100.1728042791305,-1,100.84925396721128,0.822046988597549,0.821546988597549,9,0.08567020827743425,
78,99.98330371855863,99.93720697861373,100.14720697861374,-1,100.84925396721128,0.865950248652652,0.8654502486526521,9,0.08567020827743425,
79,99.99277186866634,99.89330371855863,100.10330371855864,0,0.9539502486526601,0.9539502486526601,0.9539502486526601,10,0.08567020827743425,sell
80,99.98789189105,99.88777186866633,100.09777186866634,0,0.9539502486526601,0.9539502486526601,0.9539502486526601,10,0.08567020827743425,
81,99.97200870822901,99.88289189105,100.09289189105,0,0.9539502486526601,0.9539502486526601,0.9539502486526601,10,0.08567020827743425,sell
82,99.92799735086729,99.86700870822901,100.07700870822902,0,0.9539502486526601,0.9539502486526601,0.9539502486526601,10,0.08567020827743425,sell
83,100.0151493659445,99.82299735086728,100.03299735086729,0,0.9539502486526601,0.9539502486526601,0.9539502486526601,10,0.08567020827743425,buy
84,99.98554365359165,99.91014936594449,100.1201493659445,-1,101.07209961459716,1.0865559610055158,1.0860559610055158,11,0.08567020827743425,buy
85,99.98152896465616,99.89554365359164,100.10554365359165,0,1.1745559610055238,1.1745559610055238,1.1745559610055238,12,0.08968489721291549,sell
86,99.98849406134495,99.87652896465616,100.08652896465617,0,1.1745559610055238,1.1745559610055238,1.1745559610055238,12,0.08968489721291549,sell
87,99.99904675359693,99.88349406134495,100.09349406134496,0,1.1745559610055238,1.1745559610055238,1.1745559610055238,12,0.08968489721291549,
88,99.99904928538967,99.89404675359692,100.10404675359693,0,1.1745559610055238,1.1745559610055238,1.1745559610055238,12,0.08968489721291549,
89,100.00854411323988,99.89404928538967,100.10404928538968,0,1.1745559610055238,1.1745559610055238,1.1745559610055238,12,0.08968489721291549,buy
90,100.02011950981657,99.90354411323987,100.11354411323988,1,-98.73098815223435,1.289131357582221,1.288631357582221,13,0.08968489721291549,sell
91,100.05585379840923,99.90011950981656,100.11011950981657,1,-98.73098815223435,1.3248656461748851,1.3243656461748852,13,0.08968489721291549,buy
92,100.06948640855566,99.93585379840923,100.14585379840923,1,-98.73098815223435,1.3384982563213157,1.3379982563213157,13,0.08968489721291549,
93,100.05534066433216,99.94948640855566,100.15948640855567,1,-98.73098815223435,1.3243525120978177,1.3238525120978177,13,0.08968489721291549,
94,100.05691466828286,99.93534066433216,100.14534066433217,1,-98.73098815223435,1.3259265160485114,1.3254265160485115,13,0.08968489721291549,
95,100.05381002024087,99.93691466828285,100.14691466828286,1,-98.73098815223435,1.3228218680065282,1.3223218680065283,13,0.08968489721291549,
96,100.05838689560395,99.93381002024087,100.14381002024088,1,-98.73098815223435,1.3273987433695993,1.3268987433695993,13,0.08968489721291549,
97,99.98138714237601,99.93838689560394,100.14838689560395,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,buy
98,99.92868548890165,99.876387142376,100.08638714237601,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
99,99.98050599532658,99.82368548890165,100.03368548890165,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,buy
100,99.94891904000546,99.87550599532658,100.08550599532659,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,sell
101,99.98424139667479,99.84391904000546,100.05391904000547,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
102,100.03655943245982,99.87924139667479,100.0892413966748,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
103,100.06139907776374,99.93155943245982,100.14155943245983,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
104,100.06339545223952,99.95639907776373,100.16639907776374,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,buy
105,100.05767592051437,99.95839545223951,100.16839545223952,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
106,100.0802019901763,99.95267592051437,100.16267592051437,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
107,100.10212523091046,99.9752019901763,100.18520199017631,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
108,100.10011663572351,99.99712523091046,100.20712523091046,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
109,100.08456824045253,99.9951166357235,100.20511663572351,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
110,100.10369425477946,99.97956824045252,100.18956824045253,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
